likes,replies,retweets,quotes,text,isReply,isRetweet,isQuote,quotedTweet/text,timestamp,quotedTweet/timestamp,username,verified
2895,240,761,93,"Dear Ms. Cheney,

I’m late to the conversation, but let’s add some much-needed context to your stance on Ukraine by looking at the legacy you come from.

Your father, Dick Cheney, had a long and influential political career:

📌 Received five draft deferments during the Vietnam War, citing “other priorities,” and never served in the military.
📌 Served in key government roles, including White House Chief of Staff (Ford), U.S. Representative (Wyoming), and Secretary of Defense (Bush Sr.).
📌 As Secretary of Defense, oversaw U.S. military interventions in Panama and Iraq (Desert Storm).
📌 Led Halliburton as chairman and CEO (1995–2000), a company that later secured massive defense contracts in war zones.
📌 As Vice President, was a principal advocate for the 2003 Iraq invasion, citing claims that proved to be false.
📌 Accumulated a net worth reportedly reaching $86 million largely due to Halliburton.

These are facts. Neither you nor your father served in the military, yet he played a leading role in sending Americans into war—many of whom returned disabled, traumatized, or never returned at all. He and you profited immensely from the war machine while veterans struggled for the benefits they earned.

Despite this, you now position yourself as a leading voice on Ukraine. Why should anyone take your stance seriously, given your personal and family history of benefiting from military conflicts? Talk about the biggest conflict of interest ever.

So, before demanding action on Ukraine with emotional appeals, perhaps you should address the far more relevant issue: Why should anyone believe that your position is anything other than a continuation of the same war-profiteering playbook your family has long followed?",True,True,False,,2025-03-04T11:23:00.000Z,,@DataRepublican,True
9,1,3,1,"Shoplifting has more than doubled in the last decade. Now at its highest rate in 20 years.

A small number of career criminals commit a huge number of these crimes - but the justice system is letting them off too lightly. 🧵",False,True,True,"💷 The UK’s permissive approach to crime is costing the country as much as £250bn a year – around 10% of GDP.

Robberies, shoplifting and knife-crime have all surged by more than 50% since 2015.

These are the findings of @Policy_Exchange's latest report 🧵",2025-03-04T11:04:00.000Z,2025-03-04T07:29:00.000Z,@crush_crime,True
20613,81,3876,79,"fact checking 

1. “Not an actor” She’s an actress, made her acting debut on the white lotus 
2. “Solo music career started 3 second ago” Her career is pretty much as long as olivia rodrigo’s 
3. “The only perfomer who is lipsyncing” Lipsync is banned on the oscars",False,True,True,LISA performing at the oscars,2025-03-03T17:11:00.000Z,2025-03-03T01:34:00.000Z,@blonkstruggle,True
1985,20,231,27,"HBD Jayson Tatum. He's only...27!

Tatum's Career Highs 
▪️ Regular Season (60) 
▪️ Playoffs (51) 
▪️ All-Star Game (55) 
▪️ Play-In Tournament (50)",False,True,False,,2025-03-03T21:59:00.000Z,,@Ballislife,True
7,2,2,0,"""If u've to summarise Maxwells career in 2 balls there it was infront of u"" 😭😭",False,True,False,,2025-03-04T11:37:00.000Z,,@pixiedusttt45,False
1229,27,162,24,"Reed Sheppard with a career-high in his first career start 📊

25 PTS | 5 AST | 2 REB | 2 STL | 1 BLK",False,True,False,,2025-03-04T03:41:00.000Z,,@HoustonRockets,True
54,1,6,0,"6. Ronaldo Nazário 
The greatest number 9 of all time, whose career was tragically cut short by devastating injuries",False,True,False,,2025-03-04T06:15:00.000Z,,@MUFC_Timm,True
0,0,0,0,BEST FULL FRONTAL OF HIS CAREER,True,False,False,,2025-03-04T11:41:00.000Z,,@tshotbarnes,False
0,0,0,0,Keep your eye on this 👇gentleman.  He will be the one to end her career.,True,False,True,Meet Sholdon Daniels everyone.  He is running against Jasmine Crockett for Congress.  Let's all give him a boost & repost!  Have a listen.  Keep it coming Sholdon!🇺🇸,2025-03-04T11:41:00.000Z,2025-03-03T21:58:00.000Z,@patriotmolenys1,True
1147,58,368,9,Israel’s Supplementary UN ambassador Elise Stefanik has confused diplomats from post-colonial nations for US university presidents who were intimidated and removed thanks to the network Zionist oligarch donors who have financed her career.,False,True,True,"🇺🇸🇮🇱🇺🇳 US Ambassador to the UN Alice Stefanik:

“The antisemites at the UN better buckle up, because I’m coming. The university presidents were just a warm up”",2025-03-04T03:25:00.000Z,2025-03-03T22:46:00.000Z,@MaxBlumenthal,True
5239,137,2006,57,"NEW ARTICLE: IVERMECTIN and FENBENDAZOLE Testimonial - 63 year old woman (USA) with Stage 2 Fallopian Tube Cancer becomes cancer free - Oncologist: ""in his whole career he has never seen anything like it""

Disclaimer:
I am debanked by Stripe
My @X Ad revenue is being stolen
My Sub..stack revenue is being stolen
My @GiveSendGo was raided
My @X Account was hacked 
Alberta government ordered all of the above to bankrupt me, silence me and break me.

So naturally I'm doubling down 😃. Let's Go!

63 year old patient with a high grade serous Fallopian Tube Cancer asked me for help.

They put her on chemo but we implemented:

Ivermectin 1mg/kg/day escalating to 2mg/kg/day
Fenbendazole 444mg/day to 1332mg/day

A month after starting Ivermectin/Fenbendazole Protocol she had surgery and had some cancer cells in the abdominal wash.

She restarted the Ivermectin/Fenbendazole Protocol

A few weeks later during HIPEC surgery, they couldn't find any cancer cells.

Here is the patient's recounting of the story:

""I saw the hematologist yesterday and he said no one at the tumor board could understand why the fluid showed no cancer.""

""He said in his whole career he has never seen anything like it. So rare to see such a thing. Then I told him that I went on Ivermectin and he laughed. He hopes @RobertKennedyJr  can get this legalized in the states and that I should share this news with the other doctors and surgeon that performed this surgery""

""He said his other patients are taking Ivermectin with chemo now"".

Did you hear that? 😃

That's the sound of the Overton Window shifting.

This is the cutting edge of cancer treatments.
Right here. Effecting change.

I have to admit, I'm impressed how calm everybody is about STRIPE debanking me for helping cancer patients become cancer free. 😮

If it can happen to me, it can happen to anyone on @X. But everyone seems very comfortable with it.

Then again, there is only one place where you find cancer success stories like this, so it's natural they come after me and not the Krassenstein brothers. 😂

Did you know Alberta taxpayers paid over $10 million for that raid on my STRIPE account and they had to bribe 5 Trudeau appointed Judges to make it happen! 

Wait...wasn't @MarkJCarney on the Board of STRIPE? Canada's next Prime Minister? 🤔

Ah well, another Cancer Free patient! 
And that's all that matters. 😃

""Thank you so much for all you do for us and for all your help. I'm so grateful to you!""

Article Link in photo to avoid shadowban, just re-type the URL in the first photo at the top, into your browser to access.

@joerogan",False,True,False,,2025-03-03T11:46:00.000Z,,@MakisMD,True
0,0,0,0,Oh put a sock in it you treasonous SOB.  Your career is over.  You have sold your soul to Putin. You don't want peace.  You want Ukraine to be Russia's slave state.,True,False,False,,2025-03-04T11:41:00.000Z,,@Terpin8or,False
1,0,1,0,Exciting start to the #AICRIstart Innovation Fund pitches! Our early-career researchers are presenting their groundbreaking ideas in a Dragons’ Den-style showcase.,False,True,False,,2025-03-04T11:23:00.000Z,,@AlCRIproject,True
1482,14,87,15,"Most Career threes before turning 28 years old:

Stephen Curry - 1,509
JAYSON TATUM - 1,502

Jayson Tatum turns 27 years old today.",False,True,False,,2025-03-03T19:44:00.000Z,,@PlayoffCeltics,True
33,2,8,1,"Aqib is wasting Babar’s career in T20s. If Rauf, Faheem & Shaheen can go, then why not Babar? Yet some people are still blind to this clear agenda.
You can't convince me that Aqib doesn’t have a personal grudge against Babar. He has hated him from the start.",False,True,False,,2025-03-04T09:33:00.000Z,,@BornToRULE56,False
0,0,0,0,A Oscar in wish we brazilians would only accept If Demi Moore had win and not Fernanda Torres. But a American at the beginning of her career she won best actress of course.  We really would accept well Demi Moore but seriously? Wtf was this kkkkk,False,False,False,,2025-03-04T11:41:00.000Z,,@MariExoK0sm0s,False
19875,44,794,14,Lady Gaga getting a new choreographer was one of her best career moves ever and SOMEBODY is bitter about that,False,True,False,,2025-03-03T22:32:00.000Z,,@dontcaIImyname,False
15,3,4,1,"Not popular. Zarif quit under pressure, saying he has experienced “the bitterest period” of his forty years of career after taking up a post in the administration of Iranian President Masoud Pezeshkian.  tasnimnews.com/en/news/2025/…",False,True,False,,2025-03-03T07:01:00.000Z,,@timand2037,True
8187,533,1666,57,"To all yall “I’m so embarrassed by President Trump” muthafuckers:

Were yall embarrassed by Joe Biden when he froze up at the debate and ended his career in shame?

Were yall embarrassed when he babbled like a fool tryna answers questions he wasn’t even asked?

Were yall embarrassed when his poppy-eyed ass froze up at the Juneteenth celebration?

Were yall embarrassed when he walked the wrong way in France?

Were yall embarrassed when Obama had to lead him off the stage at that fundraiser.

Because my Black ass was embarrassed by all that shit.

Because I’m an American and Biden was the biggest embarrassment to the country in our history.

But President Trump tryna stop WWIII and stop hundreds of billions more from being stolen from us?

I aint embarrassed by that shit at all.

I’m muthafucking PROUD of my president right now 🇺🇸🇺🇸🇺🇸",False,True,False,,2025-03-03T16:59:00.000Z,,@lavern_spicer,True
